Date: 2023-10-29 16:30:19s, Time_Cost: 100s, Epoch: [73/100],Val_PSNR: 53.44, Val_SSIM: 1.0000
Date: 2023-10-29 16:31:59s, Time_Cost: 100s, Epoch: [74/100],Val_PSNR: 54.09, Val_SSIM: 1.0000
Date: 2023-10-29 16:33:39s, Time_Cost: 100s, Epoch: [75/100],Val_PSNR: 54.47, Val_SSIM: 1.0000
Date: 2023-10-29 16:35:20s, Time_Cost: 100s, Epoch: [76/100],Val_PSNR: 54.51, Val_SSIM: 1.0000
Date: 2023-10-29 16:37:00s, Time_Cost: 100s, Epoch: [77/100],Val_PSNR: 55.12, Val_SSIM: 1.0000
Date: 2023-10-29 16:38:40s, Time_Cost: 100s, Epoch: [78/100],Val_PSNR: 56.16, Val_SSIM: 1.0000
Date: 2023-10-29 16:40:20s, Time_Cost: 100s, Epoch: [79/100],Val_PSNR: 56.20, Val_SSIM: 1.0000
Date: 2023-10-29 16:42:00s, Time_Cost: 100s, Epoch: [80/100],Val_PSNR: 56.39, Val_SSIM: 1.0000
Date: 2023-10-29 16:43:40s, Time_Cost: 100s, Epoch: [81/100],Val_PSNR: 56.93, Val_SSIM: 1.0000
Date: 2023-10-29 16:45:21s, Time_Cost: 100s, Epoch: [82/100],Val_PSNR: 57.62, Val_SSIM: 1.0000
Date: 2023-10-29 16:47:01s, Time_Cost: 100s, Epoch: [83/100],Val_PSNR: 57.41, Val_SSIM: 1.0000
Date: 2023-10-29 16:48:41s, Time_Cost: 100s, Epoch: [84/100],Val_PSNR: 58.25, Val_SSIM: 1.0000
Date: 2023-10-29 16:50:21s, Time_Cost: 100s, Epoch: [85/100],Val_PSNR: 58.98, Val_SSIM: 1.0000
Date: 2023-10-29 16:52:01s, Time_Cost: 100s, Epoch: [86/100],Val_PSNR: 58.91, Val_SSIM: 1.0000
Date: 2023-10-29 16:53:41s, Time_Cost: 100s, Epoch: [87/100],Val_PSNR: 60.56, Val_SSIM: 1.0000
